Models,C-Index
"('pki_gat_gcn', 'pkd_mlt-le-gin')",0.5687760640620051
"('pki_gat_gcn', 'pkd_mlt-le-gcn')",0.5845100593722603
"('pki_gat_gcn', 'pki_mlt-le-gin')",0.577941700109698
"('pki_gat_gcn', 'pki_mlt-le-gcn')",0.6018433983102359
"('pki_gat_gcn', 'pic50_mlt-le-gin')",0.5428735048729171
"('pki_gat_gcn', 'pic50_mlt-le-gcn')",0.5459983553862863
"('pkd_gcnnet', 'pkd_mlt-le-gin')",0.5707192321206573
"('pkd_gcnnet', 'pkd_mlt-le-gcn')",0.5806537418160571
"('pkd_gcnnet', 'pki_mlt-le-gin')",0.5602891077080214
"('pkd_gcnnet', 'pki_mlt-le-gcn')",0.5581807629366706
"('pkd_gcnnet', 'pic50_mlt-le-gin')",0.5638055790527433
"('pkd_gcnnet', 'pic50_mlt-le-gcn')",0.5529337961453034
"('pkd_mlt-le-gin', 'pkd_mlt-le-gcn')",0.6482582802684321
"('pkd_mlt-le-gin', 'pki_mlt-le-gin')",0.5148814414634367
"('pkd_mlt-le-gin', 'pki_mlt-le-gcn')",0.5846559489079514
"('pkd_mlt-le-gin', 'pic50_mlt-le-gin')",0.5247000672750101
"('pkd_mlt-le-gin', 'pic50_mlt-le-gcn')",0.5295427034567297
"('pkd_mlt-le-gcn', 'pki_mlt-le-gin')",0.5020858893378217
"('pkd_mlt-le-gcn', 'pki_mlt-le-gcn')",0.5973121438838929
"('pkd_mlt-le-gcn', 'pic50_mlt-le-gin')",0.5247087086710658
"('pkd_mlt-le-gcn', 'pic50_mlt-le-gcn')",0.5196495923981235
"('pki_mlt-le-gin', 'pki_mlt-le-gcn')",0.5610835380169923
"('pki_mlt-le-gin', 'pic50_mlt-le-gin')",0.5982624835648459
"('pki_mlt-le-gin', 'pic50_mlt-le-gcn')",0.5887084715290963
"('pki_mlt-le-gcn', 'pic50_mlt-le-gin')",0.5369340871894478
"('pki_mlt-le-gcn', 'pic50_mlt-le-gcn')",0.5594191950948875
"('pic50_mlt-le-gin', 'pic50_mlt-le-gcn')",0.6196534593503659
